"","x"
"1",10408.1651495509
"2",13937.9344375386
"3",18664.7707442946
"4",24994.6409561816
"5",33471.1893913509
"6",44822.4289853063
"7",60023.2670746376
"8",80379.2358395915
"9",107638.618639715
"10",144142.602273399
