"","x"
"1",118
"2",176
"3",223
"4",341
"5",417
"6",584
"7",778
"8",1053
"9",1315
"10",1922
"11",2450
"12",3173
"13",4019
"14",5723
"15",7731
"16",8366.54391891892
"17",9118.16891891892
"18",9819.00844594594
"19",10351.5304054054
"20",10711.3817567568
"21",10901.464527027
"22",11252.6097972973
"23",11418.0253378378
